,V,E_V,I,E_I,V-I,PROB_VI,neighbor_dist
696,22.377043,0.060748044,21.881363,0.109585926,0.49567986,0.8940608,0.023064872313586005
697,22.375626,0.0923674,21.620188,0.15907396,0.75543785,0.98311764,0.20702528423078473
698,22.379076,0.077002704,22.033619,0.14518182,0.34545708,0.9634232,0.11233115793987386
699,22.378681,0.06356039,21.727966,0.105086565,0.6507149,0.9378924,0.061471862950805756
700,22.38108,0.07024344,21.721266,0.118768394,0.65981483,0.93807983,0.08335845618864754
701,22.384615,0.087450616,22.133669,0.14276844,0.25094604,0.9065595,0.18801633465443435
702,22.382706,0.0929667,21.831804,0.15760468,0.5509014,0.9693354,0.0495061200901829
703,22.384361,0.07259339,21.995018,0.12751292,0.38934326,0.9505029,0.05914085632219012
704,22.385088,0.065902784,21.896976,0.115598455,0.4881115,0.9121448,0.027385907416388695
705,22.387701,0.072283916,21.890194,0.11782035,0.4975071,0.880198,0.015400589347391785
706,22.388393,0.05056257,21.84839,0.0886593,0.5400028,0.9111509,0.054364134284842436
707,22.390137,0.067405306,21.872374,0.115777716,0.51776314,0.92918855,0.03302712020742173
708,22.396011,0.11600649,21.992468,0.2003502,0.40354347,0.9671358,0.07141503179229462
709,22.395245,0.07006901,21.826126,0.118197896,0.5691185,0.9662714,0.03173177159133401
710,22.39607,0.06938886,21.905798,0.120130055,0.49027252,0.9006104,0.026855062047876986
711,22.395714,0.089492545,21.826511,0.14889258,0.5692024,0.942044,0.03158650194308077
712,22.396812,0.058242988,21.867346,0.10139714,0.5294666,0.883508,0.0527516510754677
713,22.399408,0.06775417,21.965736,0.12049762,0.43367195,0.88642216,0.03874533357309397
714,22.399792,0.11734238,22.012074,0.19324611,0.3877182,0.92921525,0.042249247302570105
715,22.399828,0.06966832,21.904196,0.13702504,0.49563217,0.9294055,0.023064872313586005
716,22.401308,0.06647249,21.896017,0.12903185,0.505291,0.93627036,0.039350154458246175
717,22.402369,0.11286366,21.887007,0.18537848,0.5153618,0.96044064,0.029738764639690517
718,22.40356,0.06310027,21.944532,0.11133246,0.45902824,0.9011516,0.012401029783065775
719,22.404877,0.071007654,21.96704,0.123254195,0.4378376,0.9315035,0.035824652142688033
720,22.406155,0.09346971,21.845121,0.16667506,0.56103325,0.968414,0.04159644970915824
721,22.407656,0.06917453,21.956997,0.12244138,0.4506588,0.9022845,0.037507130969352605
722,22.410477,0.08902994,21.949385,0.1530802,0.461092,0.93350387,0.012683202001805042
723,22.41168,0.06265621,21.956465,0.10930757,0.45521545,0.90755135,0.018718121610470515
724,22.415731,0.07892855,21.95696,0.13762873,0.45877075,0.9308405,0.012385593988645171
725,22.41554,0.07473591,21.826475,0.12564412,0.58906555,0.93022966,0.07038836143236936
726,22.419645,0.063714124,21.86269,0.109528236,0.55695534,0.9011203,0.047956475148013246
727,22.419258,0.08248995,21.804085,0.13313839,0.61517334,0.9224136,0.07699202027747402
728,22.42082,0.057807624,21.900793,0.10058093,0.52002716,0.90026855,0.03302712020742173
729,22.425924,0.056314956,21.962362,0.0997375,0.463562,0.9064219,0.025908069525749425
730,22.426022,0.08652084,21.968424,0.14927554,0.45759773,0.94195795,0.018718121610470515
731,22.425684,0.060660403,21.854708,0.10920569,0.57097626,0.87583274,0.03158650194308077
732,22.428596,0.06117621,22.047043,0.11058707,0.38155365,0.92166287,0.05914085632219012
733,22.42932,0.06233549,21.941418,0.10973848,0.4879017,0.90330714,0.03518982548613893
734,22.42938,0.06027673,21.920628,0.106158346,0.5087528,0.90837276,0.04268698229922696
735,22.434542,0.094745405,21.953049,0.1641129,0.481493,0.9658992,0.03222402324862032
736,22.437208,0.058170836,22.002308,0.104049504,0.43490028,0.927955,0.035824652142688033
737,22.436684,0.06866696,21.80273,0.12079282,0.6339531,0.9683273,0.07011484365889364
738,22.442732,0.08656154,22.010736,0.16269794,0.4319954,0.96361554,0.044635286125580514
739,22.44252,0.05526419,21.961182,0.0978722,0.4813385,0.88585275,0.0282670960929966
740,22.443468,0.060565367,21.873646,0.10459759,0.5698223,0.9323049,0.03236711234380601
741,22.446207,0.06819485,21.898018,0.119433224,0.54818916,0.95328015,0.04256210961158916
742,22.44649,0.05968585,21.836433,0.10098378,0.6100559,0.8884328,0.06467981104146868
743,22.448391,0.06977334,22.026981,0.13052835,0.4214096,0.952769,0.035203262115685724
744,22.449215,0.057847176,21.91672,0.10149678,0.5324955,0.8711121,0.0212599962180553
745,22.453655,0.08331513,21.919125,0.14966154,0.53453064,0.9467988,0.020361319723887963
746,22.456974,0.089827195,22.105927,0.15688539,0.35104752,0.9745979,0.08358346568204761
747,22.45694,0.07348331,21.86211,0.1319585,0.59482956,0.9579496,0.05072838378395798
748,22.459982,0.057604447,21.940483,0.10242307,0.5194988,0.9013961,0.034656243043154504
749,22.461176,0.057140358,21.93244,0.09984727,0.5287361,0.88289726,0.022233060054553895
750,22.461802,0.06211166,21.921581,0.10594898,0.54022026,0.88040245,0.029401019442601435
751,22.46363,0.07317778,22.103506,0.1454898,0.3601246,0.97118783,0.11205059190956168
752,22.4631,0.062748045,21.813612,0.10516134,0.64948845,0.8969882,0.08566548264093765
753,22.464737,0.07295091,21.77094,0.11944134,0.69379616,0.9427763,0.15026375433142128
754,22.466679,0.057312094,21.9882,0.10967136,0.4784794,0.899056,0.0282670960929966
755,22.468424,0.083417244,21.894522,0.13718359,0.57390213,0.95065856,0.03470461626132882
756,22.469828,0.119887225,22.054007,0.19462065,0.41582108,0.964643,0.035203262115685724
757,22.470139,0.07088462,22.04645,0.13016504,0.4236889,0.9334517,0.038808597890007505
758,22.470161,0.05855504,21.937977,0.10110689,0.5321846,0.88920313,0.019373080341036023
