# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Mar 28 21:50:06 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 3.162278E+09 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00061788 -1.40000 9.50000 0.7500000000 2.3998889087    0.750 -0.278  3.7768  4.651    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.773e-01 2.221e-01 1.046e-04 2.859e-05 2.600e-04 -1.000 6.283e-04 5.466 5.877 6.102 5.601 5.260 4.931 4.531 4.201 4.166
0.00061788 -1.40000 9.50000 0.7811365724 2.4119438392    0.781 -0.185  3.7875  4.618    1  0.000  0.536     0.00     0.00 -1    -1e-30      0.00 7.854e-01 2.140e-01 1.015e-04 2.776e-05 2.524e-04 -1.000 6.078e-04 5.232 5.582 5.825 5.361 5.038 4.726 4.351 4.038 4.009
0.00061788 -1.40000 9.50000 0.7999999523 2.4187244196    0.800 -0.129  3.7938  4.597    1  0.000  0.536     0.00     0.00 -1    -1e-30      0.00 7.909e-01 2.085e-01 9.942e-05 2.720e-05 2.474e-04 -1.000 5.988e-04 5.092 5.410 5.662 5.218 4.906 4.603 4.242 3.940 3.915
0.00061788 -1.40000 9.50000 0.8042011261 2.4201848400    0.804 -0.117  3.7952  4.593    1  0.000  0.536     0.00     0.00 -1    -1e-30      0.00 7.912e-01 2.082e-01 9.934e-05 2.718e-05 2.473e-04 -1.000 5.980e-04 5.061 5.374 5.626 5.186 4.877 4.576 4.218 3.918 3.894
0.00061788 -1.40000 9.50000 0.8438674212 2.4331535139    0.843 -0.000  3.8080  4.548    1  0.000  0.535     0.00     0.00 -1    -1e-30      0.00 7.932e-01 2.062e-01 9.907e-05 2.713e-05 2.470e-04 -1.000 5.777e-04 4.771 5.040 5.292 4.889 4.601 4.321 3.991 3.717 3.697
0.00061788 -1.40000 9.50000 0.8500000238 2.4350346840    0.850  0.017  3.8099  4.541    1  0.000  0.535     0.00     0.00 -1    -1e-30      0.00 7.934e-01 2.061e-01 9.910e-05 2.714e-05 2.472e-04 -1.000 5.808e-04 4.726 4.990 5.241 4.843 4.559 4.282 3.956 3.685 3.667
0.00061788 -1.40000 9.50000 0.8781482577 2.4432828868    0.878  0.098  3.8188  4.511    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.937e-01 2.057e-01 9.928e-05 2.720e-05 2.477e-04 -1.000 5.552e-04 4.525 4.768 5.010 4.636 4.367 4.104 3.800 3.546 3.531
0.00061788 -1.40000 9.50000 0.8999999762 2.4492786016    0.899  0.160  3.8256  4.486    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.938e-01 2.057e-01 9.950e-05 2.727e-05 2.484e-04 -1.000 5.321e-04 4.370 4.599 4.832 4.475 4.218 3.967 3.678 3.438 3.425
0.00061788 -1.40000 9.50000 0.9100818038 2.4519335078    0.910  0.188  3.8289  4.476    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.938e-01 2.056e-01 9.947e-05 2.726e-05 2.483e-04 -1.000 5.413e-04 4.299 4.523 4.751 4.401 4.151 3.904 3.624 3.391 3.378
0.00061788 -1.40000 9.50000 0.9388311505 2.4591454406    0.938  0.270  3.8382  4.445    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.935e-01 2.059e-01 9.955e-05 2.728e-05 2.485e-04 -1.000 5.637e-04 4.096 4.307 4.516 4.189 3.956 3.725 3.467 3.253 3.242
0.00061788 -1.40000 9.50000 0.9499999285 2.4618121728    0.950  0.302  3.8418  4.433    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.933e-01 2.062e-01 9.963e-05 2.731e-05 2.487e-04 -1.000 5.597e-04 4.016 4.223 4.424 4.106 3.879 3.655 3.405 3.199 3.189
0.00061788 -1.40000 9.50000 0.9607940316 2.4643218099    0.960  0.332  3.8457  4.423    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.934e-01 2.061e-01 9.961e-05 2.730e-05 2.487e-04 -1.000 5.541e-04 3.939 4.143 4.335 4.026 3.806 3.589 3.348 3.150 3.141
0.00061788 -1.40000 9.50000 0.9838351607 2.4694676343    0.984  0.399  3.8541  4.400    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.935e-01 2.060e-01 9.959e-05 2.729e-05 2.486e-04 -1.000 5.443e-04 3.773 3.971 4.141 3.852 3.648 3.447 3.224 3.044 3.036
0.00061788 -1.40000 9.50000 1.0000000000 2.4729154477    1.000  0.446  3.8602  4.384    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.934e-01 2.060e-01 9.962e-05 2.730e-05 2.486e-04 -1.000 5.596e-04 3.654 3.848 4.002 3.727 3.535 3.345 3.137 2.970 2.962
0.00061788 -1.40000 9.50000 1.0139825344 2.4757960479    1.014  0.488  3.8664  4.374    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.938e-01 2.056e-01 9.950e-05 2.727e-05 2.484e-04 -1.000 5.922e-04 3.551 3.742 3.879 3.619 3.438 3.260 3.066 2.912 2.904
0.00061788 -1.40000 9.50000 1.0296190977 2.4789110678    1.029  0.535  3.8737  4.363    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.941e-01 2.053e-01 9.938e-05 2.724e-05 2.481e-04 -1.000 5.614e-04 3.433 3.622 3.739 3.494 3.328 3.163 2.986 2.847 2.839
0.00061788 -1.40000 9.50000 1.0439019203 2.4816628206    1.043  0.579  3.8806  4.351    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.943e-01 2.051e-01 9.933e-05 2.722e-05 2.480e-04 -1.000 5.512e-04 3.322 3.509 3.607 3.378 3.225 3.074 2.911 2.786 2.779
0.00061788 -1.40000 9.50000 1.0499999523 2.4828114860    1.050  0.599  3.8835  4.346    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.944e-01 2.051e-01 9.930e-05 2.722e-05 2.480e-04 -1.000 5.395e-04 3.274 3.461 3.551 3.327 3.180 3.035 2.878 2.759 2.752
0.00061788 -1.40000 9.50000 1.0556975603 2.4838709459    1.055  0.616  3.8862  4.342    1  0.000  0.534     0.00     0.00 -1    -1e-30      0.00 7.946e-01 2.049e-01 9.923e-05 2.720e-05 2.478e-04 -1.000 5.298e-04 3.230 3.417 3.499 3.281 3.140 3.000 2.849 2.736 2.728
